Num,Tipo,Voce,Cat,Italiano,Et_Audio
41,lemma,adaṡiòt,avv,"adagino, piano piano, con calma, con cutela",adasiot
42,lemma,adàt,agg,"adatto, opportuno",adat
43,lemma,adatàr,vb,"adattare, adeguare, modificare",adatar
44,lemma,adebitàr,vb,"addebitare, attribuire, detrarre",adebitar
45,lemma,adés,avv,"adesso, ora, subito",ades
46,lemma,Àdes,np,Adige (fiume),ades
47,lemma,adét,agg,"addetto, incaricato, delegato",adet
48,lemma,adìo,sm,addio,adio
49,lemma,adorazión,sf,"adorazione, culto",adorazion
50,lemma,adòs,avv,"addosso, indosso, troppo vicino",ados
51,lemma,adotàr,vb,"adottare, affiliare, accogliere",adotar
52,lemma,adré adré,loc,a mano a mano,adre adre
53,lemma,adulàr,vb,adulare,adular
54,lemma,adulazión,sf,adulazione,adulazion
55,lemma,adultèri,sm,"adulterio, infedeltà",adulteri
56,lemma,af,sf,ape,af
57,locuzione,af (bus de –),loc,alveare,af (bus de –)
58,lemma,afabil,agg,affabile - anche: afàbile,afabil
59,lemma,afàn,sm,"affanno, dolore, tormento",afan
60,lemma,afanàr,vb,"affannare, preoccupare, agitare",afanar
61,lemma,afàr,sm,"affare, faccenda, oggetto, cosa",afar
62,lemma,afaròt,sm,"affaruccio, affaretto",afarot
63,lemma,afasinàr,vb,"affascinare, allettare, stregare",afasinar
64,lemma,afàt,avv,"gratis, per niente - anche: gratis",afat
65,lemma,afazàr,vb,"affacciare, mostrare, sporgere",afazar
66,lemma,afazarse,vb,"affacciarsi, mostrarsi, sporgersi",afazarse
67,lemma,afèt,sm,affetto,afet
68,lemma,afetàr,vb,"affettare, tagliare a fette",afetar
69,lemma,afetuós,agg,affettuoso,afetuos
70,lemma,afezión,sf,"affezione, sentimento",afezion
71,lemma,aflìt,agg,afflitto,aflit
72,lemma,aflizión,sf,"afflizione, cruccio, angustia",aflizion
73,lemma,afolamént,sm,affollamento,afolament
74,lemma,africàn,agg,africano,african
75,lemma,afrónt,sm,"affronto, offesa, sgarbo",afront
76,lemma,agìr,vb,"agire, darsi da fare, ingegnarsi",agir
77,lemma,agità,agg,"agitato, ansioso",agita
78,lemma,agitamént,sm,"agitazione, movimento, rimescolamento",agitament
79,lemma,agitazión,sf,"agitazione, inquietudine, eccitazione",agitazion
80,lemma,agiunger,vb,aggiungere - anche: żontar,agiunger
81,lemma,agnèl,sm,agnello,agnel
82,lemma,agnelòt,sm,agnellino,agnelot
83,lemma,àgola,sf,aquila,agola
84,lemma,agolàz,sm,astore (uccello rapace),agolaz
85,lemma,agolìn,sm,"falco, cuculo, gheppio",agolin
86,lemma,agoniżàr,vb,agonizzare,agonizar
87,lemma,agóst,sm,agosto,agost
